growthp0001	growthqtlp0001	growthp0005	growthqtlp0005	growthp001	growthqtlp001	heightp0001	heightqtlp0001	heightp0005	heightqtlp0005	heightp001	heightqtlp001
SORBI_3006G084900	SORBI_3010G125900	SORBI_3004G127600	SORBI_3005G109300	SORBI_3002G150866	SORBI_3004G132600	SORBI_3002G201000	SORBI_3003G027000	SORBI_3002G144600	SORBI_3002G143100	SORBI_3002G062600	SORBI_3001G340700
SORBI_3006G247500	SORBI_3010G126000	SORBI_3004G129100	SORBI_3005G109900	SORBI_3002G153900	SORBI_3004G133850	SORBI_3002G245800	SORBI_3003G128350	SORBI_3002G145550	SORBI_3002G143200	SORBI_3002G092901	SORBI_3001G353800
SORBI_3007G074600	SORBI_3010G139600	SORBI_3004G134100	SORBI_3005G110508	SORBI_3002G154000	SORBI_3004G134100	SORBI_3002G261200	SORBI_3003G144800	SORBI_3002G147200	SORBI_3002G143300	SORBI_3002G094600	SORBI_3001G381250
SORBI_3007G090100	SORBI_3010G140150	SORBI_3004G135366	SORBI_3005G112100	SORBI_3002G157350	SORBI_3004G134500	SORBI_3002G392200	SORBI_3003G146450	SORBI_3002G147300	SORBI_3002G143450	SORBI_3002G096201	SORBI_3001G384600
SORBI_3007G090463	SORBI_3010G140600	SORBI_3004G141800	SORBI_3005G112200	SORBI_3002G158401	SORBI_3004G135366	SORBI_3003G027000	SORBI_3003G147000	SORBI_3002G147350	SORBI_3002G144600	SORBI_3002G100900	SORBI_3001G446500
SORBI_3007G091100	SORBI_3010G140700	SORBI_3004G142000	SORBI_3005G112300	SORBI_3002G162500	SORBI_3004G135700	SORBI_3003G086300	SORBI_3003G148600	SORBI_3002G147400	SORBI_3002G145550	SORBI_3002G104900	SORBI_3001G446800
SORBI_3007G092400	SORBI_3010G140800	SORBI_3004G142700	SORBI_3005G112700	ENSRNA049441585	SORBI_3004G136366	SORBI_3003G144800	SORBI_3003G149100	SORBI_3002G147433	SORBI_3002G146701	SORBI_3002G120300	SORBI_3001G467000
SORBI_3007G094050	SORBI_3010G142300	SORBI_3004G150901	SORBI_3005G113101	SORBI_3002G171700	SORBI_3004G136800	SORBI_3003G146450	SORBI_3003G216700	SORBI_3002G147500	SORBI_3002G147200	SORBI_3002G121800	SORBI_3001G472050
SORBI_3007G094900	SORBI_3010G144450	SORBI_3004G154300	SORBI_3005G114101	SORBI_3002G199500	SORBI_3004G138800	SORBI_3003G148600	SORBI_3003G240300	SORBI_3002G148700	SORBI_3002G147350	ENSRNA049996736	SORBI_3001G486000
SORBI_3007G098800	SORBI_3010G144500	SORBI_3004G158300	SORBI_3005G114400	SORBI_3002G206200	SORBI_3005G028200	SORBI_3003G157900	SORBI_3003G292866	SORBI_3002G148851	SORBI_3002G147400	SORBI_3002G126300	SORBI_3002G013550
